name,year,revenue,employee,sector,job_title,location,salary_est
Playrix,NaN,NaN,NaN,NaN,Head Of Data Science,Remote,NaN
Arkansas Blue Cross and Blue Shield,1948,$1 to $5 billion (USD),1001 to 5000 Employees,Insurance,Data Engineer,Oklahoma,NaN
Netflix,1997,$5 to $10 billion (USD),5001 to 10000 Employees,Information Technology,Data Engineer (L5) - Platform,"Los Gatos, CA",$110K - $192K (Glassdoor est.)
Colgate-Palmolive,1806,$10+ billion (USD),10000+ Employees,Manufacturing,"Director, Global Data Platforms","Piscataway, NJ",$158K - $233K (Employer est.)
Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,ML Engineer,"Dallas, TX",$83K - $117K (Glassdoor est.)
Megaport,2013,Unknown / Non-Applicable,201 to 500 Employees,Telecommunications,AI/ML Engineer,Remote,NaN
Smith & Associates,1984,$1 to $5 billion (USD),501 to 1000 Employees,Information Technology,Junior AI/ML Engineer,"Houston, TX",$43K - $64K (Glassdoor est.)
GroupM Nexus,2003,Unknown / Non-Applicable,10000+ Employees,Media & Communication,"Analyst, Data Science","New York, NY",$82K - $120K (Glassdoor est.)
Snowflake,2012,$1 to $5 billion (USD),1001 to 5000 Employees,Information Technology,"Manager, Data Science - Streamlit","San Mateo, CA",$180K - $276K (Employer est.)
HP,1939,Unknown / Non-Applicable,10000+ Employees,Information Technology,Data Science Engineer,"Spring, TX",NaN
Visa,1958,$10+ billion (USD),10000+ Employees,Information Technology,Staff Data Engineer,"Austin, TX",$111K - $155K (Glassdoor est.)
Salesforce,1999,$10+ billion (USD),10000+ Employees,Information Technology,"Director of Data Science, Expansion - Slack",California,$176K - $255K (Employer est.)
Duolingo,2011,$100 to $500 million (USD),201 to 500 Employees,Information Technology,Head of Data Science,"New York, NY",$196K - $314K (Employer est.)
Medallia,2001,$100 to $500 million (USD),1001 to 5000 Employees,Information Technology,Data Science Manager,United States,$200K - $270K (Employer est.)
Brown Brothers Harriman,1818,$1 to $5 billion (USD),1001 to 5000 Employees,Financial Services,Sr. Java Performance Engineer (Data Science),"Boston, MA",$103K - $151K (Glassdoor est.)
Caterpillar,1925,$10+ billion (USD),10000+ Employees,Manufacturing,Data Analytics Engineer,"Chicago, IL",$84K - $113K (Glassdoor est.)
Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,"Strategy and Analytics, Telemedicine","San Francisco, CA",NaN
Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,Senior Data Engineer,"New York, NY",$121K - $170K (Glassdoor est.)
GroupM Nexus,2003,Unknown / Non-Applicable,10000+ Employees,Media & Communication,"Analyst, Data Science","New York, NY",$82K - $120K (Glassdoor est.)
Ubisoft,1986,$1 to $5 billion (USD),10000+ Employees,Media & Communication,AI Engineer – XDefiant,"San Francisco, CA",$97K - $155K (Glassdoor est.)
Playrix,2004,Unknown / Non-Applicable,501 to 1000 Employees,Media & Communication,Head Of Data Science,Remote,NaN
HP,1939,Unknown / Non-Applicable,10000+ Employees,Information Technology,Data Science Engineer,"Spring, TX",NaN
Zoox,2014,Less than $1 million (USD),501 to 1000 Employees,Information Technology,"Manager, Data Science","Foster City, CA",$204K - $294K (Employer est.)
Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,ML Engineer,"Dallas, TX",$83K - $117K (Glassdoor est.)
Dow Jones,1882,$500 million to $1 billion (USD),5001 to 10000 Employees,Media & Communication,"Sr. Data Analyst, Data Science & Insights","New York, NY",$40K - $160K (Employer est.)
Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,"Software Engineer, Data Science","San Francisco, CA",$113K - $169K (Glassdoor est.)
Stanford Health Care,1957,$1 to $5 billion (USD),10000+ Employees,Healthcare,Sr. Data Engineer - AI/ML,"Palo Alto, CA",$72.49 - $96.06 Per Hour(Employer est.)
"Zoom Video Communications, Inc.",2011,$1 to $5 billion (USD),1001 to 5000 Employees,Information Technology,Audio AI Engineer,"San Francisco, CA",$99K (Employer est.)
Snowflake,2012,$1 to $5 billion (USD),1001 to 5000 Employees,Information Technology,"Manager, Data Science - Streamlit","San Mateo, CA",$180K - $276K (Employer est.)
Netflix,1997,$5 to $10 billion (USD),5001 to 10000 Employees,Information Technology,Analytics Engineer (L5) - Content,Remote,NaN
Deloitte,1850,$10+ billion (USD),10000+ Employees,Financial Services,Junior Data Engineer,"Austin, TX",$76K - $111K (Glassdoor est.)
Alston & Bird,1982,$500 million to $1 billion (USD),1001 to 5000 Employees,Legal,Data Scientist / Analytics Engineer,"Atlanta, GA",$85K - $122K (Glassdoor est.)
Dow Jones,1882,$500 million to $1 billion (USD),5001 to 10000 Employees,Media & Communication,Senior Data Engineer,"New York, NY",$40K - $160K (Employer est.)
Duolingo,2011,$100 to $500 million (USD),201 to 500 Employees,Information Technology,Head of Data Science,"New York, NY",$196K - $314K (Employer est.)
Arkansas Blue Cross and Blue Shield,1948,$1 to $5 billion (USD),1001 to 5000 Employees,Insurance,Data Engineer,Oklahoma,NaN
Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,"Strategy and Analytics, Growth","San Francisco, CA",NaN
Colgate-Palmolive,1806,$10+ billion (USD),10000+ Employees,Manufacturing,"Director, Global Data Platforms","Piscataway, NJ",$158K - $233K (Employer est.)
Entegris,1966,$1 to $5 billion (USD),5001 to 10000 Employees,Manufacturing,Data Engineer Coop,United States,NaN
SysIntelli,NaN,$1 to $5 million (USD),51 to 200 Employees,Financial Services,Data Scientist: Advanced Analytics,"San Diego, CA",$90K - $131K (Glassdoor est.)
Abbott Laboratories,1888,$10+ billion (USD),10000+ Employees,Healthcare,"Director, Data Science & Advanced Analytics","Sylmar, CA",$136K - $272K (Employer est.)
BlueOcean,1994,$25 to $100 million (USD),501 to 1000 Employees,Media & Communication,Data Engineer,New Jersey,$135K - $155K (Employer est.)
"Health Services Advisory Group, Inc.",1979,$25 to $100 million (USD),201 to 500 Employees,Healthcare,Analyst I,Remote,$70K - $75K (Employer est.)
Dropbox,2007,Unknown / Non-Applicable,1001 to 5000 Employees,Information Technology,"Senior Data Scientist, New Initiatives",Remote,NaN
